id,description,category,price,receiver,date,party,gifter,gift
1057,"Ontvangen van de provincie Friesland een uitnodiging voor een zeiltocht met de Friese statenjacht met hapje, drankje en lunch vooraf met Friese wethouders. De waarde is onbekend.",uitnodigingen en tickets,,"Koerhuis, D.A.N. (Daniel)",2021-08-16,VVD,de provincie Friesland," de provincie Friesland een uitnodiging voor een zeiltocht met de Friese statenjacht met hapje, drankje en lunch vooraf met Friese wethouders. De waarde is onbekend"
1058,"Ontvangen van Assemblée Nationale een hotelovernachting, ontbijt en lunch. De waarde is onbekend.",overig,,"Koerhuis, D.A.N. (Daniel)",2019-07-07,VVD,Assemblée Nationale," een hotelovernachting, ontbijt en lunch. De waarde is onbekend"
1059,Ontvangen van Provincie Drenthe twee toegangsbewijzen voor de skybox voor de TT Assen waarvan één weggegeven aan derden. De waarde is onbekend.,uitnodigingen en tickets,,"Koerhuis, D.A.N. (Daniel)",2019-06-30,VVD,Provincie Drenthe,twee toegangsbewijzen voor de skybox voor de TT Assen waarvan één weggegeven aan derden. De waarde is onbekend
1060,"Ontvangen een mand met Drenthse streekproducten ter waarde van €49,- voor deelname bij een bijeenkomst van de Bouwsocieteit Drenthe.",overig,49.0,"Koerhuis, D.A.N. (Daniel)",2019-04-08,VVD,"€49,-",een mand met Drenthse streekproducten ter waarde van
1061,Ontvangen van Pakhuis de Zwijger een diner plus uitrijkaart voor de parkeergarage. De waarde is onbekend.,uitnodigingen en tickets,,"Koerhuis, D.A.N. (Daniel)",2018-10-15,VVD,Pakhuis,de Zwijger een diner plus uitrijkaart voor de parkeergarage. De waarde is onbekend
1062,Ontvangen van de Provincie Gelderland een uitnodiging voor het Diner van de Toekomst. De waarde is onbekend.,uitnodigingen en tickets,,"Koerhuis, D.A.N. (Daniel)",2018-09-13,VVD,de Provincie Gelderland,de Provincie Gelderland een uitnodiging voor het Diner van de Toekomst. De waarde is onbekend
1063,Ontvangen van de OndernemersKring Wijk bij Duurstede een uitnodiging voor een diner (barbecue). De waarde is onbekend.,uitnodigingen en tickets,,"Koerhuis, D.A.N. (Daniel)",2018-09-03,VVD,de OndernemersKring Wijk bij Duurstede,de OndernemersKring Wijk bij Duurstede een uitnodiging voor een diner (barbecue). De waarde is onbekend
1064,"Ontvangen van de Provincie Drenthe twee toegangsbewijzen voor de skybox van de Provincie Drenthe voor de TT Assen, waarvan een weggegeven aan derden. De waarde is onbekend.",uitnodigingen en tickets,,"Koerhuis, D.A.N. (Daniel)",2018-07-01,VVD,de Provincie Drenthe," de Provincie Drenthe twee toegangsbewijzen voor de skybox van de Provincie Drenthe voor de TT Assen, waarvan een weggegeven aan derden. De waarde is onbekend"
1065,"Ontvangen van de Provincie Overijssel een entreekaart voor de Provada om daar te spreken ter waarde van €94,- excl. BTW.",uitnodigingen en tickets,94.0,"Koerhuis, D.A.N. (Daniel)",2018-06-06,VVD,de Provincie Overijssel,de Provincie Overijssel een entreekaart voor de Provada om daar te spreken ter waarde van
1066,"Ontvangen van Glas Branche Organisatie, twee glazen kubusjes tijdens een werkbezoek. Eén weggegeven aan derden. De waarde is onbekend.",uitnodigingen en tickets,,"Koerhuis, D.A.N. (Daniel)",2018-04-20,VVD,"Glas Branche Organisatie,",twee glazen kubusjes tijdens een werkbezoek. Eén weggegeven aan derden. De waarde is onbekend
1067,Ontvangen een lunch en autorit naar bouwondernemer op uitnodiging van Bouwend Nederland. De waarde is onbekend.,uitnodigingen en tickets,,"Koerhuis, D.A.N. (Daniel)",2018-04-20,VVD,nan,een lunch en autorit naar bouwondernemer op uitnodiging van Bouwend Nederland. De waarde is onbekend
1068,Ontvangen een busreis van en door de gemeente Weert. De waarde is onbekend.,overig,,"Koerhuis, D.A.N. (Daniel)",2018-01-29,VVD,en door,een busreis van en door de gemeente Weert. De waarde is onbekend
1069,"Ontvangen tijdens een werkbezoek bij NEPROM, een busreis tussen verschillende locaties en een lunch. De waarde is onbekend.",uitnodigingen en tickets,,"Koerhuis, D.A.N. (Daniel)",2017-06-16,VVD,nan," een werkbezoek bij NEPROM, een busreis tussen verschillende locaties en een lunch. De waarde is onbekend"
1070,"Ontvangen van uitgeverij Noordhoff de 56e editie van de Grote Bosatlas met een waarde van €70,-.",boeken,70.0,"Kops, A. (Alexander)",2022-04-20,PVV,uitgeverij Noordhoff,
1071,Ontvangen het boek 'Rijksmuseum. Onbeperkt Toegankelijk’. De waarde is onbekend.,boeken,,"Kops, A. (Alexander)",2023-06-02,PVV,nan,het boek 'Rijksmuseum. Onbeperkt Toegankelijk’. De waarde is onbekend
1072,Ontvangen de Atlas of European Values Trends and Traditions at the turn of the Century (Tilburg University). De waarde is onbekend.,boeken,,"Kops, A. (Alexander)",2023-06-02,PVV,nan,de Atlas of European Values Trends and Traditions at the turn of the Century (Tilburg University). De waarde is onbekend
1073,Ontvangen kaartjes voor de wedstrijd PSV-Heerenveen. De waarde is onbekend .,uitnodigingen en tickets,,"Kops, A. (Alexander)",2023-05-21,PVV,nan,voor de wedstrijd PSV-Heerenveen. De waarde is onbekend
1074,"Ontvangen een kaartje voor de bekerfinale PSV-Ajax t.w.v. €67,50",uitnodigingen en tickets,67.5,"Kops, A. (Alexander)",2023-04-30,PVV,nan,
1075,Ontvangen van de Gemeente Tilburg twee kaartjes voor het Kruikenconcert. De waarde is onbekend.,uitnodigingen en tickets,,"Kops, A. (Alexander)",2023-02-16,PVV,de Gemeente Tilburg,de Gemeente Tilburg twee kaartjes voor het Kruikenconcert. De waarde is onbekend
1076,Ontvangen van Omroep Brabant twee kaartje voor 3 Uurkes Vuuraf. De waarde is onbekend.,uitnodigingen en tickets,,"Kops, A. (Alexander)",2023-02-16,PVV,Omroep Brabant,twee kaartje voor 3 Uurkes Vuuraf. De waarde is onbekend
1077,Ontvangen een fotoboek prinsjesdag 2022. De waarde is onbekend.,boeken,,"Kops, A. (Alexander)",2022-12-22,PVV,nan,een fotoboek prinsjesdag 2022. De waarde is onbekend
1078,"Ontvangen Schrobbeler pakket ter waarde van €16,99.",etenswaren en dranken,16.99,"Kops, A. (Alexander)",2022-12-22,PVV,nan,
1079,Ontvangen het boek ZAO-vriendjes van Marjon van Schalkwijk & Miranda Vries. De waarde is onbekend.,boeken,,"Kops, A. (Alexander)",2022-12-22,PVV,nan,het boek ZAO-vriendjes van Marjon van Schalkwijk & Miranda Vries. De waarde is onbekend
1080,Ontvangen waxinelichthouder ‘Silver editions'. De waarde is onbekend.,overig,,"Kops, A. (Alexander)",2022-12-22,PVV,nan,
1081,Ontvangen de Grondwet voor het Koninkrijk der Nederlanden. De waarde is onbekend.,overig,,"Kops, A. (Alexander)",2022-12-22,PVV,nan,de Grondwet voor het Koninkrijk der Nederlanden. De waarde is onbekend
1082,"Ontvangen het Handboek Minister (het Blauwe boek) ter waarde van €44,99.",boeken,44.99,"Kops, A. (Alexander)",2022-12-22,PVV,nan,het Handboek Minister (het Blauwe boek) ter waarde van
1083,"Ontvangen 2 flessen Kus van Thérèse ter waarde van €21,90.",etenswaren en dranken,21.9,"Kops, A. (Alexander)",2022-12-22,PVV,nan,2 flessen Kus van Thérèse ter waarde van
1084,Ontvangen tijdens een werkbezoek een gepersonaliseerd chocoladetablet van Pondres. De waarde is onbekend,uitnodigingen en tickets,,"Kops, A. (Alexander)",2022-07-12,PVV,nan,een werkbezoek een gepersonaliseerd chocoladetablet van Pondres. De waarde is onbekend
1085,Ontvangen een DAF miniatuurtruck. De waarde is onbekend.,overig,,"Kops, A. (Alexander)",2022-07-04,PVV,nan,een DAF miniatuurtruck. De waarde is onbekend
1086,Ontvangen twee planten. De waarde is onbekend.,overig,,"Kops, A. (Alexander)",2022-07-04,PVV,nan,twee planten. De waarde is onbekend
1087,"Ontvangen 2 kaartjes voor het Lentefeest van de Ronde Tafel Veldhoven, met een waarde van €150 euro per stuk.",uitnodigingen en tickets,300,"Kops, A. (Alexander)",2022-05-07,PVV,"de Ronde Tafel Veldhoven, met",
1088,Ontvangen twee kaarten inclusief diner voor de Invictus Games. De waarde is onbekend.,uitnodigingen en tickets,,"Kops, A. (Alexander)",2022-04-16,PVV,nan,twee kaarten inclusief diner voor de Invictus Games. De waarde is onbekend
1089,Ontvangen een kaart voor de voetbalwedstrijd PSV-Leicester City . De waarde is onbekend.,uitnodigingen en tickets,,"Kops, A. (Alexander)",2022-04-14,PVV,nan,een kaart voor de voetbalwedstrijd PSV-Leicester City . De waarde is onbekend
1090,"Ontvangen van Uitgeverij Noordhoff de zesenvijftigste editie van de Grote Bosatlas ter waarde van € 70,-.",boeken,70.0,"Kops, A. (Alexander)",2022-03-30,PVV,Uitgeverij Noordhoff,de zesenvijftigste editie van de Grote Bosatlas ter waarde van
1091,Ontvangen een diner en bijwonen voetbalwedstrijd PSV. De waarde is onbekend.,uitnodigingen en tickets,,"Kops, A. (Alexander)",2022-03-20,PVV,nan,een diner en bijwonen voetbalwedstrijd PSV. De waarde is onbekend
1092,Ontvangen van BeGlobal een blik stroopwafels. De waarde is onbekend.,etenswaren en dranken,,"Kops, A. (Alexander)",2022-03-18,PVV,BeGlobal,een blik stroopwafels. De waarde is onbekend
1093,Ontvangen een Google Titan Security Key. De waarde is onbekend.,overig,,"Kops, A. (Alexander)",2021-11-10,PVV,nan,een Google Titan Security Key. De waarde is onbekend
1094,Ontvangen een lunch en DDW tour te Eindhoven. De waarde is onbekend.,overig,,"Kops, A. (Alexander)",2021-10-22,PVV,nan,een lunch en DDW tour te Eindhoven. De waarde is onbekend
1095,"Ontvangen drie kaartjes voor het festival “De Feestconferentie” van een relatie ter waarde van €78,-.",uitnodigingen en tickets,78.0,"Kops, A. (Alexander)",2021-10-02,PVV,nan,voor het festival “De Feestconferentie” van een relatie ter waarde van
1096,Ontvangen een goodie bag tijdens Oploop M50 in het Tweede Kamergebouw . De waarde is onbekend.,overig,,"Kops, A. (Alexander)",2021-09-22,PVV,nan,een goodie bag tijdens Oploop M50 in het Tweede Kamergebouw . De waarde is onbekend
1097,"Ontvangen een dinerbon tijdens een bijeenkomst van de VVD Breda ter waarde van €35,-.",cadeaubonnen en geldbedragen,35.0,"Kops, A. (Alexander)",2021-09-18,PVV,nan,een dinerbon tijdens een bijeenkomst van de VVD Breda ter waarde van
1098,Ontvangen een vogelhuisje met paaseitjes van de IPO. De waarde is onbekend.,overig,,"Kops, A. (Alexander)",2021-04-16,PVV,nan,een vogelhuisje met paaseitjes van de IPO. De waarde is onbekend
1099,"Ontvangen van Diervriendelijk Nederland en Vegan Today een doos met vriendelijke, plantaardige levensmiddelen. De waarde is onbekend.",overig,,"Kröger, S.C. (Suzanne)",2022-09-06,GL-PvdA,Diervriendelijk Nederland en Vegan Today," een doos met vriendelijke, plantaardige levensmiddelen. De waarde is onbekend"
1100,"Ontvangen van Noordhoff uitgevers de zesenvijftigste editie van de Grote Bosatlas ter waarde van € 69,95.",boeken,69.95,"Kröger, S.C. (Suzanne)",2022-04-01,GL-PvdA,Noordhoff uitgevers,de zesenvijftigste editie van de Grote Bosatlas ter waarde van
1101,"Ontvangen 3 exemplaren van het boek ""Palmen op de Noordpool"" van de schrijver Marc ter Horst ter waarde van €23,- per boek.",boeken,23.0,"Kröger, S.C. (Suzanne)",2018-09-24,GL-PvdA,"het boek ""Palmen op"," 3 exemplaren van het boek ""Palmen op de Noordpool"" van de schrijver Marc ter Horst ter waarde van"
1102,"Ontvangen van Kees Verhoeven het boek “De democratie crasht” ter waarde van €22,99.",boeken,22.99,"Kuik, A. (Anne)",2023-07-04,CDA,Kees Verhoeven,het boek “De democratie crasht” ter waarde van
