id,description,category,price,receiver,date,party,gifter,gift
1004,"Ontvangen voor het geven van een lezing bij de Telderstichting in Utrecht een boekenbon ter waarde van €35,-.",boeken,35.0,"Kamminga, R.J. (Roelien)",2022-06-07,VVD,een lezing bij,voor het geven van een lezing bij de Telderstichting in Utrecht een boekenbon ter waarde van
1005,"Ontvangen van Noordhoff uitgevers de zesenvijftigste editie van de Grote Bosatlas ter waarde van € 69,95.",boeken,69.95,"Kamminga, R.J. (Roelien)",2022-04-06,VVD,Noordhoff uitgevers,de zesenvijftigste editie van de Grote Bosatlas ter waarde van
1006,"Ontvangen van Google Nederland een Google Cloud Titan Security Key met een geschatte waarde van €25,-.",overig,25.0,"Kamminga, R.J. (Roelien)",2021-12-01,VVD,Google Nederland,
1007,"Ontvangen van Uitgeverij Noordhoff de 56e editie van De Grote Bosatlas ter waarde van €69,95.",boeken,69.95,"Kat, H. (Hülya)",2022-04-06,D66,Uitgeverij Noordhoff,de 56e editie van De Grote Bosatlas ter waarde van
1008,Ontvangen van de KNVB 3 kaartjes voor de oefeninterland Nederland(v)- Noorwegen(v). De waarde is onbekend.,uitnodigingen en tickets,,"Klaver, J.F. (Jesse)",2022-10-11,GL-PvdA,de KNVB 3,de KNVB 3 kaartjes voor de oefeninterland Nederland(v)- Noorwegen(v). De waarde is onbekend
1009,"Ontvangen van Noordhoff uitgevers de zesenvijftigste editie van de Grote Bosatlas ter waarde van € 69,95.",boeken,69.95,"Klaver, J.F. (Jesse)",2022-04-01,GL-PvdA,Noordhoff uitgevers,de zesenvijftigste editie van de Grote Bosatlas ter waarde van
1010,"Ontvangen van Ruud de Wild i.v.m. het programma ""ingelijst"" een schilderij ter waarde van €1500,-.",overig,1500.0,"Klaver, J.F. (Jesse)",2021-02-25,GL-PvdA,Ruud de Wild i.v.m.," de Wild i.v.m. het programma ""ingelijst"" een schilderij ter waarde van"
1011,Ontvangen van de Tuinbranche Nederland een voorjaarssierteeltmand - en bloemstuk. De waarde is onbekend,overig,,"Klaver, J.F. (Jesse)",2021-02-23,GL-PvdA,de Tuinbranche Nederland,de Tuinbranche Nederland een voorjaarssierteeltmand - en bloemstuk. De waarde is onbekend
1012,Ontvangen van BKB Het Campagnebureau twee kaarten voor de bijeenkomst met Michelle Obama in het Ziggo Dome. De waarde is onbekend.,uitnodigingen en tickets,,"Klaver, J.F. (Jesse)",2019-04-17,GL-PvdA,BKB Het Campagnebureau,twee kaarten voor de bijeenkomst met Michelle Obama in het Ziggo Dome. De waarde is onbekend
1013,Ontvangen van Nationale Opera & Ballet twee tickets voor de première Zwanenmeer (Nationale Ballet). De waarde is onbekend.,uitnodigingen en tickets,,"Klaver, J.F. (Jesse)",2019-03-16,GL-PvdA,Nationale Opera & Ballet,twee tickets voor de première Zwanenmeer (Nationale Ballet). De waarde is onbekend
1014,Ontvangen van uitgeverij De Bezige Bij een uitnodiging voor twee personen voor een diner en het Boekenbal. De waarde is onbekend.,uitnodigingen en tickets,,"Klaver, J.F. (Jesse)",2017-03-24,GL-PvdA,uitgeverij De Bezige Bij,een uitnodiging voor twee personen voor een diner en het Boekenbal. De waarde is onbekend
1015,"Ontvangen een Phillips Soupmaker ter waarde van €95,- wegens deelname “Ik Hou van Holland”. Geschonken aan een medewerker.",overig,95.0,"Klaver, J.F. (Jesse)",2016-10-31,GL-PvdA,Holland”. Geschonken aan,een Phillips Soupmaker ter waarde van
1016,"Ontvangen een uitnodiging voor twee personen voor een diner en het Boekenbal, ontvangen van uitgeverij De Bezige Bij. De waarde is niet bekend.",uitnodigingen en tickets,,"Klaver, J.F. (Jesse)",2016-03-11,GL-PvdA,nan,
1017,Ontvangen twee kaarten voor de première Jesus Christ Superstar. De waarde is onbekend.,uitnodigingen en tickets,,"Klaver, J.F. (Jesse)",2015-12-15,GL-PvdA,nan,twee kaarten voor de première Jesus Christ Superstar. De waarde is onbekend
1018,Ontvangen twee kaarten voor Uitreiking Gouden Kalf. De waarde is onbekend.,uitnodigingen en tickets,,"Klaver, J.F. (Jesse)",2015-10-02,GL-PvdA,nan,twee kaarten voor Uitreiking Gouden Kalf. De waarde is onbekend
1019,"Ontvangen van de NOC NSF drie kaarten voor het WK hockey à circa €80,- per kaart.",uitnodigingen en tickets,80.0,"Klaver, J.F. (Jesse)",2014-06-01,GL-PvdA,de NOC NSF drie kaarten,
1020,Ontvangen van de NOC NSF een uitnodiging voor het Sportgala. Niet aanwezig geweest.,uitnodigingen en tickets,,"Klaver, J.F. (Jesse)",2012-12-18,GL-PvdA,de NOC NSF,
1021,Ontvangen van de gemeente Den Haag een uitnodiging voor het Prinsjesdagconcert.,uitnodigingen en tickets,,"Klaver, J.F. (Jesse)",2012-09-18,GL-PvdA,de gemeente Den Haag,
1022,"Ontvangen als dank voor spreken op een bijeenkomst over pensioenen, een kistje wijn. De geschatte waarde is €75,-",etenswaren en dranken,75.0,"Klaver, J.F. (Jesse)",2012-06-13,GL-PvdA,nan,
1023,Ontvangen van de NOC NSF een uitnodiging voor het Sportgala.,uitnodigingen en tickets,,"Klaver, J.F. (Jesse)",2011-12-12,GL-PvdA,de NOC NSF,
1024,"Ontvangen een uitnodiging voor Edison Pop. De waarde ligt tussen de €50,- en €100,-.",uitnodigingen en tickets,50.0,"Klaver, J.F. (Jesse)",2011-10-02,GL-PvdA,nan,
1025,Ontvangen van de Gemeente Den Haag een uitnodiging voor het Prinsjesdagconcert.,uitnodigingen en tickets,,"Klaver, J.F. (Jesse)",2011-09-20,GL-PvdA,de Gemeente Den Haag,
1026,Ontvangen een uitnodiging voor Edison Klassiek. De waarde is onbekend.,uitnodigingen en tickets,,"Klaver, J.F. (Jesse)",2011-06-16,GL-PvdA,nan,een uitnodiging voor Edison Klassiek. De waarde is onbekend
1027,Ontvangen van de gemeente Rotterdam een uitnodiging voor Gala Rotterdams Philharmonisch Orkest.,uitnodigingen en tickets,,"Klaver, J.F. (Jesse)",2011-03-19,GL-PvdA,de gemeente Rotterdam,
1028,Ontvangen van de NOC NSF een uitnodiging voor het Sportgala.,uitnodigingen en tickets,,"Klaver, J.F. (Jesse)",2010-12-04,GL-PvdA,de NOC NSF,
1029,Ontvangen van de KNVB een uitnodiging voor de voetbalwedstrijd Nederland-Zweden op 12 oktober 2010.,uitnodigingen en tickets,,"Klaver, J.F. (Jesse)",2010-10-12,GL-PvdA,de KNVB,
1030,"Ontvangen het boek ‘Handboek Minister’ van Elsevier ter waarde van €14,95.",boeken,14.95,"Klink, J.J. (Jan)",2022-12-14,VVD,nan,het boek ‘Handboek Minister’ van Elsevier ter waarde van
1031,"Ontvangen het boek '50 jaar Vlaams Parlement' van Martine Goossens ter waarde van €60,-.",boeken,60.0,"Klink, J.J. (Jan)",2022-07-07,VVD,nan,het boek '50 jaar Vlaams Parlement' van Martine Goossens ter waarde van
1032,"Ontvangen de Grote Bosatlas ter waarde van €69,95.",boeken,69.95,"Klink, J.J. (Jan)",2022-04-04,VVD,nan,de Grote Bosatlas ter waarde van
1033,"Ontvangen van de vertegenwoordiger van Taiwan een agenda van onbekende waarde en een fles whisky ter waarde van €48,50.",etenswaren en dranken,48.5,"Klink, J.J. (Jan)",2022-01-18,VVD,de vertegenwoordiger van Taiwan,de vertegenwoordiger van Taiwan een agenda van onbekende waarde en een fles whisky ter waarde van
1034,Ontvangen van studievereniging Mercurius Wageningen een fles wijn. De waarde is onbekend.,etenswaren en dranken,,"Klink, J.J. (Jan)",2021-12-10,VVD,studievereniging Mercurius Wageningen,een fles wijn. De waarde is onbekend
1035,"Ontvangen van IDVO een tas met MVO producten met een geschatte waarde van €50,-.",overig,50.0,"Klink, J.J. (Jan)",2021-11-30,VVD,IDVO een tas met MVO producten met,
1036,"Ontvangen een Google Cloud Titan Security Key ter waarde van €25,95.",overig,25.95,"Klink, J.J. (Jan)",2021-11-10,VVD,nan,een Google Cloud Titan Security Key ter waarde van
1037,"Ontvangen van The Digital Society Programme voor deelname aan het panelgesprek tijden de Digital Society Programma Conferentie 2022 een bol.com waardebon ter waarde van € 50,-. Wordt gebruikt voor de fractie boekenkast.",boeken,50.0,"Koekkoek, M. (Marieke)",2022-11-28,Volt,The Digital Society Programme,voor deelname aan het panelgesprek tijden de Digital Society Programma Conferentie 2022 een bol.com waardebon ter waarde van
1038,"Ontvangen van Martine Goossens het boek '50 jaar Vlaams Parlement' ter waarde van €60,-.",boeken,60.0,"Koekkoek, M. (Marieke)",2022-08-11,Volt,Martine Goossens,het boek '50 jaar Vlaams Parlement' ter waarde van
1039,"Ontvangen van Noordhoff uitgevers de zesenvijftigste editie van de Grote Bosatlas ter waarde van € 69,95.",boeken,69.95,"Koekkoek, M. (Marieke)",2022-04-01,Volt,Noordhoff uitgevers,de zesenvijftigste editie van de Grote Bosatlas ter waarde van
1040,Ontvangen van de gemeente Rotterdam tickets voor North Sea Jazz festival voor 1+1 personen. De waarde is onbekend.,uitnodigingen en tickets,,"Koerhuis, D.A.N. (Daniel)",2023-07-07,VVD,de gemeente Rotterdam tickets,de gemeente Rotterdam tickets voor North Sea Jazz festival voor 1+1 personen. De waarde is onbekend
1041,Ontvangen van Duisport voor 1+2 personen een rondvaart in de haven en een lunch. De waarde is onbekend.,overig,,"Koerhuis, D.A.N. (Daniel)",2023-06-26,VVD,Duisport,voor 1+2 personen een rondvaart in de haven en een lunch. De waarde is onbekend
1042,Ontvangen van Evofenex een uitnodiging voor traditionele oesterborrel. De waarde is onbekend.,uitnodigingen en tickets,,"Koerhuis, D.A.N. (Daniel)",2023-02-07,VVD,Evofenex,een uitnodiging voor traditionele oesterborrel. De waarde is onbekend
1043,Ontvangen van KLM een kersttrui. De waarde is onbekend.,overig,,"Koerhuis, D.A.N. (Daniel)",2022-12-21,VVD,nan,een kersttrui. De waarde is onbekend
1044,Ontvangen van NKC een rondrit in camper en lunch voor 2 personen. De waarde is onbekend.,overig,,"Koerhuis, D.A.N. (Daniel)",2022-12-10,VVD,NKC een rondrit in camper en lunch,een rondrit in camper en lunch voor 2 personen. De waarde is onbekend
1045,Ontvangen van de Koninklijke Nederlandse Redding Maatschappij een rondvaart door de haven IJmuiden voor 3 personen. De waarde is onbekend.,overig,,"Koerhuis, D.A.N. (Daniel)",2022-12-05,VVD,de Koninklijke Nederlandse Redding Maatschappij,de Koninklijke Nederlandse Redding Maatschappij een rondvaart door de haven IJmuiden voor 3 personen. De waarde is onbekend
1046,Ontvangen van de gemeente Rotterdam één toegangskaart voor de wedstrijd Feyenoord - FC Midtjylland en een lopend buffet. De waarde is onbekend.,uitnodigingen en tickets,,"Koerhuis, D.A.N. (Daniel)",2022-10-13,VVD,de gemeente Rotterdam één,de gemeente Rotterdam één toegangskaart voor de wedstrijd Feyenoord - FC Midtjylland en een lopend buffet. De waarde is onbekend
1047,"Ontvangen van Change inc. voor uitsluitend medewerker een ticket voor het event van de EV-experience, een ticket voor het event van Change inc.,een lunch bij het event van Change inc. ter waarde van € 220,-.",uitnodigingen en tickets,220.0,"Koerhuis, D.A.N. (Daniel)",2022-09-23,VVD,Change inc.," voor uitsluitend medewerker een ticket voor het event van de EV-experience, een ticket voor het event van Change inc.,een lunch bij het event van Change inc. ter waarde van"
1048,Ontvangen van Regiobestuur Regio Zwolle een diner voor 1 + 1 personen in Nieuwspoort. De waarde is onbekend.,etenswaren en dranken,,"Koerhuis, D.A.N. (Daniel)",2022-09-15,VVD,Regiobestuur Regio Zwolle,een diner voor 1 + 1 personen in Nieuwspoort. De waarde is onbekend
1049,Ontvangen van de gemeente Utrecht voor 2 personen toegangskaarten voor de Vuelta. De waarde is onbekend.,uitnodigingen en tickets,,"Koerhuis, D.A.N. (Daniel)",2022-08-20,VVD,de gemeente Utrecht,de gemeente Utrecht voor 2 personen toegangskaarten voor de Vuelta. De waarde is onbekend
1050,"Ontvangen van North Sea Port voor 3 personen een bustour in de Zeeuwse haven, een lunch en een boekgeschenk. De waarde is onbekend.",boeken,,"Koerhuis, D.A.N. (Daniel)",2022-07-07,VVD,North Sea Port," voor 3 personen een bustour in de Zeeuwse haven, een lunch en een boekgeschenk. De waarde is onbekend"
1051,Ontvangen van de Franse Senaat: herdenkingsmunt en fles wijn. De waarde is onbekend.,etenswaren en dranken,,"Koerhuis, D.A.N. (Daniel)",2022-06-28,VVD,nan,de Franse Senaat: herdenkingsmunt en fles wijn. De waarde is onbekend
1052,Ontvangen van Groningen Seaports voor 1 + 1 personen een rondvaart en lunch in de haven van Groningen. De waarde is onbekend.,overig,,"Koerhuis, D.A.N. (Daniel)",2022-04-04,VVD,Groningen Seaports,voor 1 + 1 personen een rondvaart en lunch in de haven van Groningen. De waarde is onbekend
1053,"Ontvangen van Noordhoff uitgevers de zesenvijftigste editie van de Grote Bosatlas ter waarde van € 70,00.",boeken,70.0,"Koerhuis, D.A.N. (Daniel)",2022-03-30,VVD,Noordhoff uitgevers,de zesenvijftigste editie van de Grote Bosatlas ter waarde van
1054,"Ontvangen van Havenbedrijf Rotterdam voor 1 + 2 personen een rondvaart in de haven van Rotterdam door de Botlek, de Europort, de eerste Maasvlakte en de tweede Maasvlakte. De waarde is onbekend.",overig,,"Koerhuis, D.A.N. (Daniel)",2022-03-21,VVD,Havenbedrijf Rotterdam," voor 1 + 2 personen een rondvaart in de haven van Rotterdam door de Botlek, de Europort, de eerste Maasvlakte en de tweede Maasvlakte. De waarde is onbekend"
1055,Ontvangen van Schiphol een bezoek voor 1 + 2 personen aan de viplounge inclusief lunch en rondrit Schiphol. De waarde is onbekend.,uitnodigingen en tickets,,"Koerhuis, D.A.N. (Daniel)",2022-02-14,VVD,Schiphol,een bezoek voor 1 + 2 personen aan de viplounge inclusief lunch en rondrit Schiphol. De waarde is onbekend
1056,Ontvangen van de gemeente Enschede een uitnodiging voor Military Boekelo. De waarde is onbekend.,uitnodigingen en tickets,,"Koerhuis, D.A.N. (Daniel)",2021-10-09,VVD,de gemeente Enschede,de gemeente Enschede een uitnodiging voor Military Boekelo. De waarde is onbekend
