"Aartsen, A.A. (Thierry) - VVD",
"Hoop, H.E. (Habtamu) de - GL-PvdA",
Geschenken,
Geschenk,Datum
Ontvangen van Gemeente Rotterdam voetbalkaartjes Feyenoord-Midtjylland. De waarde is onbekend.,21-12-2022
Ontvangen van Impuls & Woortblind chocoladeletters. De waarde is onbekend. Geschonken aan fractiemedewerkers.,05-12-2022
"Ontvangen van Noordhoff Uitgevers de Grote Bosatlas ter waarde van € 69,95. Geschonken aan derden.",28-03-2022
"Houwelingen, P. (Pepijn) van - FVD",
Geschenken,
Geschenk,Datum
"Ontvangen een een Bosatlas ter waarde van ongeveer €70,-.",01-04-2022
"Jansen, F.J.H. (Freek) - FVD",
Geschenken,
Geschenk,Datum
Geen,
"Jong, L.W.E. (Léon) de - PVV",
Geschenken,
Geschenk,Datum
"Ontvangen voor muziek op Spotify €200,73",18-05-2022
Geschenk,Datum
"Ontvangen van uitgeverij Noordhoff de 56e editie van de Grote Bosatlas met een waarde van €70,-.",20-04-2022
"Jong, R.H. (Romke) de - D66",
Geschenken,
Geschenk,Datum
Deelgenomen op uitnodiging van Familiebedrijven Nederland (FBNed) aan het Familiebedrijven Event in het Mauritshuis te Den Haag. De waarde is onbekend.,08-05-2023
Deelgenomen op uitnodiging van Airbnb Nederland aan de avond ‘Gastvrijheid - Van Vermeer tot nu’ in het Rijksmuseum Amsterdam. De waarde is onbekend.,03-05-2023
"Ontvangen van de Provincie Drenthe 2 tickets voor de TT-Assen ter waarde van €175,-.",26-06-2022
"Ontvangen van Uitgeverij Noordhoff de 56e editie van De Grote Bosatlas ter waarde van €69,95.",06-04-2022
"Kamminga, R.J. (Roelien) - VVD",
Geschenken,
Geschenk,Datum
Ontvangen van M50 (Platform Middelgrote Gemeenten) een koffie warmhoudbeker en een fles fruitwijn. De waarde is onbekend. 2,20-09-2023
"Ontvangen van de gemeente Het Hogeland een diner en de voorstelling Ripperda van Zummerbuhne voor twee personen ter waarde van €75,- euro per persoon.",08-09-2023
Ontvangen tijdens de ontvangst van de president van de Republiek Moldavië een fles wijn. De waarde is onbekend.,04-09-2023
Ontvangen van de provincie Groningen een diner en voorstelling Festival Noorderzon voor twee personen. De waarde is onbekend.,25-08-2023
Ontvangen van Paul Dekker het boek ‘Politieke polarisatie in Nederland’. De waarde is onbekend.,04-07-2023
"Ontvangen van Kees Verhoeven het boek “De democratie crasht” ter waarde van €22,99.",04-07-2023
"Ontvangen van New Energy Coalition het boek ‘De Bosatlas van de duurzaamheid’ ter waarde van €29,95.",03-07-2023
Ontvangen van de commissaris van de Koning in de provincie Drenthe toegang tot de Dutch TT te Assen. De waarde is onbekend.,25-06-2023
Ontvangen van de Graanrepubliek een tasje met lokaal geproduceerde producten. De waarde is onbekend.,23-06-2023
Ontvangen van Royal Avebe een tasje met producten. De waarde is onbekend.,23-06-2023
"Ontvangen van het Voedingscentrum het boek ‘Schijf van Vijf kookboek’ ter waarde van €19,95.",13-06-2023
"Ontvangen van Guus Berkhout en Hans de Jongh het boek ‘Verstikkende bureaucratie met wortel en tak uitroeien’ gekregen ter waarde van €12,95.",13-06-2023
Ontvangen tijdens het IPKO-diner een houten maquette van de Koningin Emmabrug (Pontjesbrug). De waarde is onbekend.,14-03-2023
"Ontvangen het boek ‘Worst Bank Scenario’ van Hester Bais en Wink Sabée ter waarde van €25,00.",14-03-2023
Ontvangen het boek ‘Kadushi’s Prikkeljaar’ van dhr. René Zwart. De waarde is onbekend.,25-01-2023
Deelgenomen op uitnodiging van de gemeente Groningen aan het ESNS diner en festival. De waarde is onbekend.,20-01-2023
"Ontvangen het boek ‘Vrauwluu’ van Iris van den Brand en Sanne Meijer ter waarde van €34,90",28-10-2022
Ontvangen van de PVV het boek ‘The Satanic Verses’ van Salman Rushdie. De waarde is onbekend.,06-10-2022
"Ontvangen voor het geven van een lezing bij de Telderstichting in Utrecht een boekenbon ter waarde van €35,-.",07-06-2022
"Ontvangen van Noordhoff uitgevers de zesenvijftigste editie van de Grote Bosatlas ter waarde van € 69,95.",06-04-2022
"Ontvangen van Google Nederland een Google Cloud Titan Security Key met een geschatte waarde van €25,-.",01-12-2021
"Kat, H. (Hülya) - D66",
Geschenken,
Geschenk,Datum
"Ontvangen van Uitgeverij Noordhoff de 56e editie van De Grote Bosatlas ter waarde van €69,95.",06-04-2022
"Kathmann, B.C. (Barbara) - GL-PvdA",
Geschenken,
Geschenk,Datum
Geen,
"Kent, B. (Bart) van - SP",
Geschenken,
Geschenk,Datum
Geen,
"Kerseboom, S. (Simone) - FVD",
Geschenken,
Geschenk,Datum
Geen,
"Klaver, J.F. (Jesse) - GL-PvdA",
Geschenken,
Geschenk,Datum
Ontvangen van de KNVB 3 kaartjes voor de oefeninterland Nederland(v)- Noorwegen(v). De waarde is onbekend.,11-10-2022
"Ontvangen van Noordhoff uitgevers de zesenvijftigste editie van de Grote Bosatlas ter waarde van € 69,95.",01-04-2022
"Ontvangen van Ruud de Wild i.v.m. het programma ""ingelijst"" een schilderij ter waarde van €1500,-.",25-02-2021
Ontvangen van de Tuinbranche Nederland een voorjaarssierteeltmand - en bloemstuk. De waarde is onbekend,23-02-2021
Ontvangen van BKB Het Campagnebureau twee kaarten voor de bijeenkomst met Michelle Obama in het Ziggo Dome. De waarde is onbekend.,17-04-2019
Ontvangen van Nationale Opera & Ballet twee tickets voor de première Zwanenmeer (Nationale Ballet). De waarde is onbekend.,16-03-2019
"Aanwezig geweest op uitnodiging van de NOS bij de 2e etappe Tour de France (in een volgauto) voor het programma ""De avondetappe"". De reis- en verblijfkosten zijn betaald door de NOS. De waarde is onbekend.",08-07-2018
"Deelgenomen aan een diner op uitnodiging van Friends of Europa in de Royal Palace te Brussel, bekostigd door de Royal Palace. De waarde is niet bekend.",22-05-2018
Opknappen van het halletje van zijn woonhuis door het Tv-programma Eigen Huis en Tuin. De waarde is onbekend.,21-04-2018
"Aanwezig geweest bij het diner Pensant met Naomi Klein, aangeboden door Brainwashfestival. De waarde is onbekend.",27-10-2017
"Aanwezig geweest bij het diner Topvrouw van het jaar, in verband met keynote speaker, aangeboden door Stichting Topvrouw van het jaar. De waarde is onbekend.",28-09-2017
Ontvangen van uitgeverij De Bezige Bij een uitnodiging voor twee personen voor een diner en het Boekenbal. De waarde is onbekend.,24-03-2017
"Ontvangen een Phillips Soupmaker ter waarde van €95,- wegens deelname “Ik Hou van Holland”. Geschonken aan een medewerker.",31-10-2016
"Ontvangen een uitnodiging voor twee personen voor een diner en het Boekenbal, ontvangen van uitgeverij De Bezige Bij. De waarde is niet bekend.",11-03-2016
Ontvangen twee kaarten voor de première Jesus Christ Superstar. De waarde is onbekend.,15-12-2015
Ontvangen twee kaarten voor Uitreiking Gouden Kalf. De waarde is onbekend.,02-10-2015
"Ontvangen van de NOC NSF drie kaarten voor het WK hockey à circa €80,- per kaart.",01-06-2014
Ontvangen van de NOC NSF een uitnodiging voor het Sportgala. Niet aanwezig geweest.,18-12-2012
Ontvangen van de gemeente Den Haag een uitnodiging voor het Prinsjesdagconcert.,18-09-2012
"Ontvangen als dank voor spreken op een bijeenkomst over pensioenen, een kistje wijn. De geschatte waarde is €75,-",13-06-2012
Ontvangen van de NOC NSF een uitnodiging voor het Sportgala.,12-12-2011
"Ontvangen een uitnodiging voor Edison Pop. De waarde ligt tussen de €50,- en €100,-.",02-10-2011
Ontvangen van de Gemeente Den Haag een uitnodiging voor het Prinsjesdagconcert.,20-09-2011
Ontvangen een uitnodiging voor Edison Klassiek. De waarde is onbekend.,16-06-2011
Ontvangen van de gemeente Rotterdam een uitnodiging voor Gala Rotterdams Philharmonisch Orkest.,19-03-2011
Ontvangen van de NOC NSF een uitnodiging voor het Sportgala.,04-12-2010
Ontvangen van de KNVB een uitnodiging voor de voetbalwedstrijd Nederland-Zweden op 12 oktober 2010.,12-10-2010
"Klink, J.J. (Jan) - VVD",
Geschenken,
Geschenk,Datum
"Ontvangen het boek ‘Handboek Minister’ van Elsevier ter waarde van €14,95.",14-12-2022
"Ontvangen het boek '50 jaar Vlaams Parlement' van Martine Goossens ter waarde van €60,-.",07-07-2022
"Ontvangen de Grote Bosatlas ter waarde van €69,95.",04-04-2022
"Ontvangen van de vertegenwoordiger van Taiwan een agenda van onbekende waarde en een fles whisky ter waarde van €48,50.",18-01-2022
Ontvangen van studievereniging Mercurius Wageningen een fles wijn. De waarde is onbekend.,10-12-2021
"Ontvangen van IDVO een tas met MVO producten met een geschatte waarde van €50,-.",30-11-2021
"Ontvangen een Google Cloud Titan Security Key ter waarde van €25,95.",10-11-2021
"Koekkoek, M. (Marieke) - Volt",
Geschenken,
Geschenk,Datum
"Ontvangen van The Digital Society Programme voor deelname aan het panelgesprek tijden de Digital Society Programma Conferentie 2022 een bol.com waardebon ter waarde van € 50,-. Wordt gebruikt voor de fractie boekenkast.",28-11-2022
"Ontvangen van Martine Goossens het boek '50 jaar Vlaams Parlement' ter waarde van €60,-.",11-08-2022
"Ontvangen van Noordhoff uitgevers de zesenvijftigste editie van de Grote Bosatlas ter waarde van € 69,95.",01-04-2022
"Koerhuis, D.A.N. (Daniel) - VVD",
Geschenken,
Geschenk,Datum
Ontvangen van de gemeente Rotterdam tickets voor North Sea Jazz festival voor 1+1 personen. De waarde is onbekend.,07-07-2023
Ontvangen van Duisport voor 1+2 personen een rondvaart in de haven en een lunch. De waarde is onbekend.,26-06-2023
Deelgenomen aan een rondvaart en lunch in de haven van Lelystad georganiseerd door Koninklijke Nederlandse Redding Maatschappij voor 1 + 1 personen. De waarde is onbekend.,08-05-2023
Deelgenomen aan het Aspergediner op uitnodiging van Competition Support. De waarde is onbekend.,12-04-2023
Ontvangen van Evofenex een uitnodiging voor traditionele oesterborrel. De waarde is onbekend.,07-02-2023
Ontvangen van KLM een kersttrui. De waarde is onbekend.,21-12-2022
Ontvangen van NKC een rondrit in camper en lunch voor 2 personen. De waarde is onbekend.,10-12-2022
Ontvangen van de Koninklijke Nederlandse Redding Maatschappij een rondvaart door de haven IJmuiden voor 3 personen. De waarde is onbekend.,05-12-2022
Uitnodiging van de provincie Overijssel voor het Wild diner. De waarde is onbekend.,30-11-2022
Ontvangen van de gemeente Rotterdam één toegangskaart voor de wedstrijd Feyenoord - FC Midtjylland en een lopend buffet. De waarde is onbekend.,13-10-2022
"Ontvangen van Change inc. voor uitsluitend medewerker een ticket voor het event van de EV-experience, een ticket voor het event van Change inc.,een lunch bij het event van Change inc. ter waarde van € 220,-.",23-09-2022
Ontvangen van Regiobestuur Regio Zwolle een diner voor 1 + 1 personen in Nieuwspoort. De waarde is onbekend.,15-09-2022
Ontvangen van de gemeente Utrecht voor 2 personen toegangskaarten voor de Vuelta. De waarde is onbekend.,20-08-2022
"Ontvangen van North Sea Port voor 3 personen een bustour in de Zeeuwse haven, een lunch en een boekgeschenk. De waarde is onbekend.",07-07-2022
Deelgenomen aan een diner van de Franse senaat. De waarde is onbekend.,28-06-2022
Ontvangen van de Franse Senaat: herdenkingsmunt en fles wijn. De waarde is onbekend.,28-06-2022
Deelgenomen aan een rondvaart op de Overijsselse Vecht georganiseerd door de regio Zwolle. De waarde is onbekend.,24-06-2022
Deelgenomen aan een diner van de Duitse ambassade. De waarde is onbekend.,21-06-2022
Deelgenomen aan het Lente diner georganiseerd door de regio Achterhoek. De waarde is onbekend.,18-05-2022
Deelgenomen aan een diner van BOVAG. De waarde is onbekend.,12-05-2022
Deelgenomen aan het Aspergediner op uitnodiging van Competition Support. De waarde is onbekend.,20-04-2022
Ontvangen van Groningen Seaports voor 1 + 1 personen een rondvaart en lunch in de haven van Groningen. De waarde is onbekend.,04-04-2022
Deelgenomen aan een diner van de Finse ambassade. De waarde is onbekend.,30-03-2022
"Ontvangen van Noordhoff uitgevers de zesenvijftigste editie van de Grote Bosatlas ter waarde van € 70,00.",30-03-2022
"Ontvangen van Havenbedrijf Rotterdam voor 1 + 2 personen een rondvaart in de haven van Rotterdam door de Botlek, de Europort, de eerste Maasvlakte en de tweede Maasvlakte. De waarde is onbekend.",21-03-2022
Ontvangen van Schiphol een bezoek voor 1 + 2 personen aan de viplounge inclusief lunch en rondrit Schiphol. De waarde is onbekend.,14-02-2022
Bijgewoond een etentje met Bestuurlijke Regie Schiphol (BRS). De waarde is onbekend.,10-02-2022
Geschenk,Datum
Deelgenomen aan een lunch voor 1 + 1 personen van de Franse ambassade. De waarde is onbekend.,03-02-2022
Ontvangen van de gemeente Enschede een uitnodiging voor Military Boekelo. De waarde is onbekend.,09-10-2021
"Ontvangen van de provincie Friesland een uitnodiging voor een zeiltocht met de Friese statenjacht met hapje, drankje en lunch vooraf met Friese wethouders. De waarde is onbekend.",16-08-2021
Deelgenomen aan het stakeholderdiner Koninklijke Notariële Beroepsorganisatie. De waarde is onbekend.,28-11-2019
Deelgenomen aan het Wild diner op uitnodiging van de provincie Overijssel. De waarde is onbekend.,20-11-2019
Deelgenomen aan Preuvenemeet 2019 van Stichting Building Society Maastricht samen met partner. De waarde is onbekend.,22-08-2019
"Ontvangen van Assemblée Nationale een hotelovernachting, ontbijt en lunch. De waarde is onbekend.",07-07-2019
Ontvangen van Provincie Drenthe twee toegangsbewijzen voor de skybox voor de TT Assen waarvan één weggegeven aan derden. De waarde is onbekend.,30-06-2019
Deelgenomen aan een werkbezoek naar de Achterhoek inclusief bustour van de Provincie Gelderland. De waarde is onbekend.,15-04-2019
"Ontvangen een mand met Drenthse streekproducten ter waarde van €49,- voor deelname bij een bijeenkomst van de Bouwsocieteit Drenthe.",08-04-2019
Deelgenomen aan een diner tijdens de bijeenkomst van de Bouwsocieteit Drenthe. De waarde is onbekend.,08-04-2019
Deelgenomen aan de Ontbijtsessie Mineral Wool Association. De waarde is onbekend.,13-02-2019
Deelgenomen aan een ontbijtsessie van de provincie Drenthe. De waarde is onbekend.,22-11-2018
Deelgenomen aan het Wild diner op uitnodiging van de provincie Overijssel. De waarde is onbekend.,14-11-2018
Deelgenomen aan een diner van de Franse ambassade. De waarde is onbekend.,16-10-2018
Ontvangen van Pakhuis de Zwijger een diner plus uitrijkaart voor de parkeergarage. De waarde is onbekend.,15-10-2018
"Deelgenomen aan een werkbezoek inclusief bustour, lunch, hapjes en drankjes van de Provincie Overijssel. De waarde is onbekend.",08-10-2018
Ontvangen van de Provincie Gelderland een uitnodiging voor het Diner van de Toekomst. De waarde is onbekend.,13-09-2018
Ontvangen van de OndernemersKring Wijk bij Duurstede een uitnodiging voor een diner (barbecue). De waarde is onbekend.,03-09-2018
"Ontvangen van de Provincie Drenthe twee toegangsbewijzen voor de skybox van de Provincie Drenthe voor de TT Assen, waarvan een weggegeven aan derden. De waarde is onbekend.",01-07-2018
"Ontvangen van de Provincie Overijssel een entreekaart voor de Provada om daar te spreken ter waarde van €94,- excl. BTW.",06-06-2018
Deelgenomen aan het Overijssels Lentediner op uitnodiging van Provincie Overijssel. De waarde is onbekend.,28-05-2018
Deelgenomen aan het Achterhoeks Lentediner op uitnodiging van de Regio Achterhoek. De waarde is onbekend.,16-05-2018
"Ontvangen van Glas Branche Organisatie, twee glazen kubusjes tijdens een werkbezoek. Eén weggegeven aan derden. De waarde is onbekend.",20-04-2018
Ontvangen een lunch en autorit naar bouwondernemer op uitnodiging van Bouwend Nederland. De waarde is onbekend.,20-04-2018
Deelgenomen aan een diner op uitnodiging van de Duitse ambassade. De waarde is onbekend.,31-01-2018
Deelgenomen aan een diner van de Franse ambassade. De waarde is onbekend.,30-01-2018
Ontvangen een busreis van en door de gemeente Weert. De waarde is onbekend.,29-01-2018
"Deelgenomen aan het Wilddiner van de Provincie Overijssel in Nieuwspoort ter waarde van €59,50. Dit diner was gratis voor Overijsselse Kamerleden.",15-11-2017
"Ontvangen tijdens een werkbezoek bij NEPROM, een busreis tussen verschillende locaties en een lunch. De waarde is onbekend.",16-06-2017
Deelgenomen aan het Overijssels diner op uitnodiging van de Provincie Overijssel. De waarde is onbekend.,12-06-2017
"Kops, A. (Alexander) - PVV",
Geschenken,
Geschenk,Datum
"Ontvangen van uitgeverij Noordhoff de 56e editie van de Grote Bosatlas met een waarde van €70,-.",20-04-2022
"Kort, A.H.J. (Daan) de - VVD",
Geschenken,
Geschenk,Datum
Ontvangen het boek 'Rijksmuseum. Onbeperkt Toegankelijk’. De waarde is onbekend.,02-06-2023
Ontvangen de Atlas of European Values Trends and Traditions at the turn of the Century (Tilburg University). De waarde is onbekend.,02-06-2023
Ontvangen kaartjes voor de wedstrijd PSV-Heerenveen. De waarde is onbekend .,21-05-2023
"Ontvangen een kaartje voor de bekerfinale PSV-Ajax t.w.v. €67,50",30-04-2023
Ontvangen van de Gemeente Tilburg twee kaartjes voor het Kruikenconcert. De waarde is onbekend.,16-02-2023
Geschenk,Datum
Ontvangen van Omroep Brabant twee kaartje voor 3 Uurkes Vuuraf. De waarde is onbekend.,16-02-2023
Ontvangen een fotoboek prinsjesdag 2022. De waarde is onbekend.,22-12-2022
"Ontvangen Schrobbeler pakket ter waarde van €16,99.",22-12-2022
Ontvangen het boek ZAO-vriendjes van Marjon van Schalkwijk & Miranda Vries. De waarde is onbekend.,22-12-2022
Ontvangen waxinelichthouder ‘Silver editions'. De waarde is onbekend.,22-12-2022
Ontvangen de Grondwet voor het Koninkrijk der Nederlanden. De waarde is onbekend.,22-12-2022
"Ontvangen het Handboek Minister (het Blauwe boek) ter waarde van €44,99.",22-12-2022
"Ontvangen 2 flessen Kus van Thérèse ter waarde van €21,90.",22-12-2022
Ontvangen tijdens een werkbezoek een gepersonaliseerd chocoladetablet van Pondres. De waarde is onbekend,12-07-2022
Ontvangen een DAF miniatuurtruck. De waarde is onbekend.,04-07-2022
Ontvangen twee planten. De waarde is onbekend.,04-07-2022
"Ontvangen 2 kaartjes voor het Lentefeest van de Ronde Tafel Veldhoven, met een waarde van €150 euro per stuk.",07-05-2022
Ontvangen twee kaarten inclusief diner voor de Invictus Games. De waarde is onbekend.,16-04-2022
Ontvangen een kaart voor de voetbalwedstrijd PSV-Leicester City . De waarde is onbekend.,14-04-2022
"Ontvangen van Uitgeverij Noordhoff de zesenvijftigste editie van de Grote Bosatlas ter waarde van € 70,-.",30-03-2022
Ontvangen een diner en bijwonen voetbalwedstrijd PSV. De waarde is onbekend.,20-03-2022
Ontvangen van BeGlobal een blik stroopwafels. De waarde is onbekend.,18-03-2022
Ontvangen een Google Titan Security Key. De waarde is onbekend.,10-11-2021
Ontvangen een lunch en DDW tour te Eindhoven. De waarde is onbekend.,22-10-2021
"Ontvangen drie kaartjes voor het festival “De Feestconferentie” van een relatie ter waarde van €78,-.",02-10-2021
Ontvangen een goodie bag tijdens Oploop M50 in het Tweede Kamergebouw . De waarde is onbekend.,22-09-2021
"Ontvangen een dinerbon tijdens een bijeenkomst van de VVD Breda ter waarde van €35,-.",18-09-2021
Ontvangen een vogelhuisje met paaseitjes van de IPO. De waarde is onbekend.,16-04-2021
"Kröger, S.C. (Suzanne) - GL-PvdA",
Geschenken,
Geschenk,Datum
"Ontvangen van Diervriendelijk Nederland en Vegan Today een doos met vriendelijke, plantaardige levensmiddelen. De waarde is onbekend.",06-09-2022
"Ontvangen van Noordhoff uitgevers de zesenvijftigste editie van de Grote Bosatlas ter waarde van € 69,95.",01-04-2022
"Ontvangen 3 exemplaren van het boek ""Palmen op de Noordpool"" van de schrijver Marc ter Horst ter waarde van €23,- per boek.",24-09-2018
Bijgewoond met 2 personen het International Young Patrons Circle Gala op uitnodiging van Nationale Opera & Ballet. De waarde is onbekend.,01-06-2018
Bijgewoond op uitnodiging van het bedrijf Elaad een diner bij Instock. De waarde is onbekend.,17-04-2018
Deelgenomen aan het mobiliteitsdiner Ridderzaal op uitnodiging van RAI vereniging. De waarde is onbekend.,26-03-2018
Bijgewoond het Goed Geld Gala op uitnodiging van de Nationale Postcodeloterij te Amsterdam. De waarde is onbekend.,15-02-2018
Bijgewoond met partner op uitnodiging de theatervoorstelling ‘Première DE VERLEIDERS: Stem Kwijt’. De waarde is onbekend.,18-10-2017
"Krul, H.M. (Harmen) - CDA",
Geschenken,
Geschenk,Datum
Geen,
"Kuik, A. (Anne) - CDA",
Geschenken,
Geschenk,Datum
"Ontvangen van Kees Verhoeven het boek “De democratie crasht” ter waarde van €22,99.",04-07-2023
Geschenk,Datum
"Ontvangen van Noordhoff uitgevers de zesenvijftigste editie van de Grote Bosatlas ter waarde van € 69,95.",05-04-2022
Ontvangen van AGF Detailhandel Nederland een pakket met groenten en fruit. De waarde is onbekend.,01-06-2021
Ontvangen van gemeente Rotterdam een kaart voor het concert van Marco Borsato. De waarde is onbekend.,01-06-2019
"Ontvangen op uitnodiging van Gedeputeerde S.A.E. Poepjes van provincie Friesland twee kaarten (voor haar zelf en haar man) voor de voorstelling De Stormruiter in Leeuwarden (inclusief diner) met een totale waarde van €240,- (€120,- per",15-09-2018
persoon).,
"Ontvangen een dinerbon voor een 4-gangen diner voor 2 personen inclusief wijn arrangement te besteden bij Restaurant NU in Drachten, als dank voor deelname in de jury bij de STAR-Awards van het ROC Friese poort in Leeuwarden. De",25-04-2018
waarde is onbekend.,
"Ontvangen van AFNL-NOA als dank voor deelname in het panel van Politiek forum / bijeenkomst toekomst kleinschalige opleidingen ambachtelijke beroepen in Nieuwspoort een boekenbon ter waarde van €50,-.",17-04-2018
"Kuiken, A.H. (Attje) - GL-PvdA",
Geschenken,
Geschenk,Datum
"Ontvangen van Rene Paas, UMCG Hartchirurgie het boek 'Een streepje voor'. De waarde is onbekend.",01-11-2022
Ontvangen een marmeren doosje van de Ambassadeur van India in het kader van de felicitatie van het voorzitterschap van de commissie voor Buitenlandse Zaken. De waarde is onbekend. Het staat in de vitrine kast van de PvdA.,02-05-2022
"Ontvangen van Wolters Kluwer/ G. Karapetian het boek ""Morganatisch burgerschap"" van Mr. G. Karapetian. De waarde is onbekend. Voor eigen gebruik gehouden.",14-01-2020
"Ontvangen van Elsevier weekblad het boek ""Haagse bespiegelingen"" van Bert van Braak. De waarde is onbekend.",18-12-2019
Bijgewoond het Preuvemint Maastricht op uitnodiging van de Provincie Limburg. De waarde is onbekend.,22-08-2019
Ontvangen 3 toegangskaarten voor Binckbanktour Den Haag. De waarde is onbekend.,17-08-2019
Bijgewoond het Kruikenconcert op uitnodiging van College van B&W Tilburg. De waarde is onbekend.,08-02-2018
Bijgewoond Engeland-Spanje met vrouwelijke bestuurders van Brabant op uitnodiging van de wethouders van Breda. De waarde is onbekend.,23-07-2017
Bijgewoond België-Nederland op uitnodiging van college B&W Tilburg. De waarde is onbekend.,22-07-2017
Deelgenomen aan een werkbezoek aan de Beekse Bergen dierentuin en aansluitend een bezoek aan het park met twee personen. De waarde is onbekend.,21-07-2017
Bijgewoond een etentje met Bredase Kamerleden en het college van B&W Breda in de Stadstuin Ginneken. De waarde is onbekend.,16-06-2017
Ontvangen 2 toegangskaarten voor Pinkpop op uitnodiging van de provincie Limburg. De waarde was 95 euro per stuk.,04-06-2017
"Ontvangen van RTL een toegangskaart/dinerbuffet t.b.v. Carré partijleidersdebat, ter waarde van €100,-. Voor eigen gebruik gehouden.",05-03-2017
Bijgewoond Tilburg culinair op uitnodiging van het College van B&W Tilburg. De waarde is onbekend.,23-09-2016
Ontvangen 2 kaarten voor de wedstrijd NAC op uitnodiging van het College van B&W Breda met Bredase Kamerleden. De waarde is onbekend.,03-02-2015
Bijgewoond Outdoor Brabant op uitnodiging van het college van B&W Breda. De waarde is onbekend.,24-09-2014
Bijgewoond het Kruikenconcert op uitnodiging van het College van B&W Tilburg. De waarde is onbekend.,27-02-2014
"Ontvangen van de Koninklijke Boekverkopersbond het boek ""Nederland"" van Charlotte Dematons ter waarde van €24,50.",14-11-2013
"Ontvangen van de Koninklijke Boekverkopersbond het boek ""Weird Things Customers Say in Bookshops"" van Jen Campbell ter waarde van €10,49.",14-11-2013
"Ontvangen van Rai vereniging in het kader van verjaardag een VIPWarmer en ‘L Cotes de Gascogne (wijn) ter waarde van ongeveeer €30,-. Voor eigen gebruik gehouden.",06-11-2013
"Ontvangen van Piet Adriaanse het boek ""Principes, rechten en plichten"" ter waarde van €29,95. Voor eigen gebruik gehouden.",26-09-2013
"Ontvangen van Juridische Hogeschool Avans-Fontys een boekenbon ter waarde van €25,- in het kader van deelname aan de adviesraad. Voor eigen gebruik gehouden.",26-09-2013
"Ontvangen van C.Le Pair het boek ""De toekomst achter ons"" geschonken door de auteur ter waarde van €29,95. Voor eigen gebruik gehouden.",26-09-2013
"Ontvangen van het wetenschappelijk bureau van de Partij voor de Dieren het boek ""Sea the Truth"". De waarde is onbekend en voor eigen gebruik gehouden.",26-09-2013
"Ontvangen van Suzanne de Rooij het boek ""De hbo-jurist, kans of bedreiging"" ter waarde van €27,95. Voor eigen gebruik gehouden.",26-09-2013
"Ontvangen van Marianne Thieme het boek ""Méér"" in het kader van het standpunt van de Partij voor de Dieren ter waarde van €14,95. Voor eigen gebruik gehouden.",26-09-2013
"Ontvangen van Calbona Uitgeverij het boek ""De dood bestaat niet"". Voor eigen gebruik gehouden.",26-09-2013
"Ontvangen van Adjiedj Bakas het boek ""De toekomst van gezondheid"" in het kader van goedkoper maken van de zorg ter waarde van €24,95. Voor eigen gebruik gehouden.",26-09-2013
"Ontvangen van uitgeverij De Bezige Bij het boek ""Moeten wij van elkaar houden"" ter waarde van €15,90 op verzoek van Alexander Pechtold. Voor eigen gebruik gehouden.",26-09-2013
"Ontvangen van Uitgeverij Atlas Contact het boek ""Doe eens normaal man"" ter waarde €14,95 in het kader van de formatieperiode 2012. Voor eigen gebruik gehouden.",26-09-2013
"Ontvangen van Pharos uitgevers het boek ""De succes crisis"" in het kader van aanbieding van de eerste 150 exemplaren aan bekende Nederlanders (Kamerleden) ter waarde van €17,95. Voor eigen gebruik gehouden.",26-09-2013
"Ontvangen van John le Carre (auteur) het boek ""Een broze waarheid"" ter waarde van €19,95. Voor eigen gebruik gehouden.",26-09-2013
"Ontvangen van Adjiedj Bakas het boek ""Het einde van de privacy"" ter waarde van €22,50. Voor eigen gebruik gehouden.",26-09-2013
"Ontvangen van uitgeverij Kluwer, a Wolters Kluwer het business, het boek ""Duurzaam Denken Doen"" ter waarde van €15,50. Voor eigen gebruik gehouden.",26-09-2013
Geschenk,Datum
"Ontvangen van het Voedingscentrum het boek ""53 recepten voor een gezondere bbq"" in het kader van gezond eten ter waarde van €12,95. Voor eigen gebruik gehouden.",26-09-2013
Bijgewoond het Kruikenconcert op uitnodiging van het College van B&W van Tilburg. De waarde is onbekend.,06-02-2013
Ontvangen 2 kaarten voor Dutch Valley eerste editie op uitnodiging van Buma/Stemra. De waarde is onbekend.,13-08-2011
Deelgenomen aan het Brabantse droom netwerkevent van de provincie Brabant inclusief bezoek aan park met familie (3 personen). De waarde is onbekend .,02-07-2011
"Ontvangen de film “Sicko” van Micheal Moore ter waarde van €11,99 als kerstgeschenk/overweging zorg. Voor eigen gebruik gehouden.",07-04-2011
"Ontvangen een boek “Minderheidskabinet” van Willem Vermeend en Emile Bode ter waarde van €17,50. Voor eigen gebruik gehouden.",10-12-2010
"Ontvangen het boek ""De Driehoeksverhouding in het strafrechtelijk vooronderzoek"" door P.P.J. van der Meij ter waarde van €79,50.",25-05-2010
"Ontvangen een tonnetje met noodpakket van DENK VOORUIT in het kader van rampenbestrijding ter waarde van €79,95.",28-04-2010
"Ontvangen van de Juridische Hogeschool Avans-Fontys in Tilburg een boekenbon ter waarde van €50,-- als bedankje voor deelname aan de adviesraad van de school. Voor eigen gebruik gehouden.",07-04-2010
"Ontvangen van dhr. Poot het boek ""Doodzonde tegen de rechtstaat"" van Jan Poot. Het boek is retour gezonden.",10-12-2009
Bijgewoond het Chassé Carnavals concert op uitnodiging van het College van B&W van Breda. De waarde is onbekend.,20-02-2009
