"year","TOTAL_MOVIES","BECHDEL_CATEGORY","BECHDEL_PASS_PERC"
"1950","23","This movie has at least two women in it and they talk to each other.","0.130435"
"1950","23","This movie has at least two women in it and they talk to each other about something besides a man.","0.565217"
"1951","19","This movie does not have two (named) female characters.","0.052632"
"1951","19","This movie has at least two women in it.","0.210526"
"1951","19","This movie has at least two women in it and they talk to each other.","0.105263"
"1951","19","This movie has at least two women in it and they talk to each other about something besides a man.","0.631579"
"1952","19","This movie does not have two (named) female characters.","0.105263"
"1952","19","This movie has at least two women in it.","0.210526"
"1952","19","This movie has at least two women in it and they talk to each other.","0.315789"
"1952","19","This movie has at least two women in it and they talk to each other about something besides a man.","0.368421"
"1953","38","This movie does not have two (named) female characters.","0.184211"
"1953","38","This movie has at least two women in it.","0.263158"
"1953","38","This movie has at least two women in it and they talk to each other.","0.078947"
"1953","38","This movie has at least two women in it and they talk to each other about something besides a man.","0.473684"
"1954","34","This movie does not have two (named) female characters.","0.176471"
"1954","34","This movie has at least two women in it.","0.235294"
"1954","34","This movie has at least two women in it and they talk to each other.","0.176471"
"1954","34","This movie has at least two women in it and they talk to each other about something besides a man.","0.411765"
"1955","38","This movie does not have two (named) female characters.","0.105263"
"1955","38","This movie has at least two women in it.","0.131579"
"1955","38","This movie has at least two women in it and they talk to each other.","0.184211"
"1955","38","This movie has at least two women in it and they talk to each other about something besides a man.","0.578947"
"1956","40","This movie does not have two (named) female characters.","0.1"
"1956","40","This movie has at least two women in it.","0.2"
"1956","40","This movie has at least two women in it and they talk to each other.","0.175"
"1956","40","This movie has at least two women in it and they talk to each other about something besides a man.","0.525"
"1957","38","This movie does not have two (named) female characters.","0.236842"
"1957","38","This movie has at least two women in it.","0.210526"
"1957","38","This movie has at least two women in it and they talk to each other.","0.210526"
"1957","38","This movie has at least two women in it and they talk to each other about something besides a man.","0.342105"
"1958","33","This movie does not have two (named) female characters.","0.151515"
"1958","33","This movie has at least two women in it.","0.212121"
"1958","33","This movie has at least two women in it and they talk to each other.","0.181818"
"1958","33","This movie has at least two women in it and they talk to each other about something besides a man.","0.454545"
"1959","35","This movie does not have two (named) female characters.","0.114286"
"1959","35","This movie has at least two women in it.","0.285714"
"1959","35","This movie has at least two women in it and they talk to each other.","0.028571"
"1959","35","This movie has at least two women in it and they talk to each other about something besides a man.","0.571429"
"1960","42","This movie does not have two (named) female characters.","0.119048"
"1960","42","This movie has at least two women in it.","0.119048"
"1960","42","This movie has at least two women in it and they talk to each other.","0.261905"
"1960","42","This movie has at least two women in it and they talk to each other about something besides a man.","0.5"
"1961","39","This movie does not have two (named) female characters.","0.179487"
"1961","39","This movie has at least two women in it.","0.128205"
"1961","39","This movie has at least two women in it and they talk to each other.","0.102564"
"1961","39","This movie has at least two women in it and they talk to each other about something besides a man.","0.589744"
"1962","45","This movie does not have two (named) female characters.","0.155556"
"1962","45","This movie has at least two women in it.","0.2"
"1962","45","This movie has at least two women in it and they talk to each other.","0.111111"
"1962","45","This movie has at least two women in it and they talk to each other about something besides a man.","0.533333"
"1963","43","This movie does not have two (named) female characters.","0.162791"
"1963","43","This movie has at least two women in it.","0.255814"
"1963","43","This movie has at least two women in it and they talk to each other.","0.093023"
"1963","43","This movie has at least two women in it and they talk to each other about something besides a man.","0.488372"
"1964","51","This movie does not have two (named) female characters.","0.137255"
"1964","51","This movie has at least two women in it.","0.333333"
"1964","51","This movie has at least two women in it and they talk to each other.","0.137255"
"1964","51","This movie has at least two women in it and they talk to each other about something besides a man.","0.392157"
"1965","41","This movie does not have two (named) female characters.","0.219512"
"1965","41","This movie has at least two women in it.","0.195122"
"1965","41","This movie has at least two women in it and they talk to each other.","0.097561"
"1965","41","This movie has at least two women in it and they talk to each other about something besides a man.","0.487805"
"1966","54","This movie does not have two (named) female characters.","0.166667"
"1966","54","This movie has at least two women in it.","0.481481"
"1966","54","This movie has at least two women in it and they talk to each other.","0.074074"
"1966","54","This movie has at least two women in it and they talk to each other about something besides a man.","0.277778"
"1967","47","This movie does not have two (named) female characters.","0.191489"
"1967","47","This movie has at least two women in it.","0.255319"
"1967","47","This movie has at least two women in it and they talk to each other.","0.06383"
"1967","47","This movie has at least two women in it and they talk to each other about something besides a man.","0.489362"
"1968","49","This movie does not have two (named) female characters.","0.285714"
"1968","49","This movie has at least two women in it.","0.163265"
"1968","49","This movie has at least two women in it and they talk to each other.","0.142857"
"1968","49","This movie has at least two women in it and they talk to each other about something besides a man.","0.408163"
"1969","37","This movie does not have two (named) female characters.","0.135135"
"1969","37","This movie has at least two women in it.","0.459459"
"1969","37","This movie has at least two women in it and they talk to each other.","0.054054"
"1969","37","This movie has at least two women in it and they talk to each other about something besides a man.","0.351351"
"1970","45","This movie does not have two (named) female characters.","0.111111"
"1970","45","This movie has at least two women in it.","0.333333"
"1970","45","This movie has at least two women in it and they talk to each other.","0.088889"
"1970","45","This movie has at least two women in it and they talk to each other about something besides a man.","0.466667"
"1971","59","This movie does not have two (named) female characters.","0.101695"
"1971","59","This movie has at least two women in it.","0.338983"
"1971","59","This movie has at least two women in it and they talk to each other.","0.118644"
"1971","59","This movie has at least two women in it and they talk to each other about something besides a man.","0.440678"
"1972","49","This movie does not have two (named) female characters.","0.163265"
"1972","49","This movie has at least two women in it.","0.204082"
"1972","49","This movie has at least two women in it and they talk to each other.","0.142857"
"1972","49","This movie has at least two women in it and they talk to each other about something besides a man.","0.489796"
"1973","60","This movie does not have two (named) female characters.","0.2"
"1973","60","This movie has at least two women in it.","0.2"
"1973","60","This movie has at least two women in it and they talk to each other.","0.15"
"1973","60","This movie has at least two women in it and they talk to each other about something besides a man.","0.45"
"1974","43","This movie does not have two (named) female characters.","0.162791"
"1974","43","This movie has at least two women in it.","0.209302"
"1974","43","This movie has at least two women in it and they talk to each other.","0.186047"
"1974","43","This movie has at least two women in it and they talk to each other about something besides a man.","0.44186"
"1975","43","This movie does not have two (named) female characters.","0.093023"
"1975","43","This movie has at least two women in it.","0.209302"
"1975","43","This movie has at least two women in it and they talk to each other.","0.139535"
"1975","43","This movie has at least two women in it and they talk to each other about something besides a man.","0.55814"
"1976","42","This movie does not have two (named) female characters.","0.095238"
"1976","42","This movie has at least two women in it.","0.452381"
"1976","42","This movie has at least two women in it and they talk to each other.","0.119048"
"1976","42","This movie has at least two women in it and they talk to each other about something besides a man.","0.333333"
"1977","51","This movie does not have two (named) female characters.","0.156863"
"1977","51","This movie has at least two women in it.","0.254902"
"1977","51","This movie has at least two women in it and they talk to each other.","0.078431"
"1977","51","This movie has at least two women in it and they talk to each other about something besides a man.","0.509804"
"1978","43","This movie does not have two (named) female characters.","0.209302"
"1978","43","This movie has at least two women in it.","0.209302"
"1978","43","This movie has at least two women in it and they talk to each other.","0.162791"
"1978","43","This movie has at least two women in it and they talk to each other about something besides a man.","0.418605"
"1979","45","This movie does not have two (named) female characters.","0.155556"
"1979","45","This movie has at least two women in it.","0.333333"
"1979","45","This movie has at least two women in it and they talk to each other.","0.111111"
"1979","45","This movie has at least two women in it and they talk to each other about something besides a man.","0.4"
"1980","45","This movie does not have two (named) female characters.","0.177778"
"1980","45","This movie has at least two women in it.","0.177778"
"1980","45","This movie has at least two women in it and they talk to each other.","0.111111"
"1980","45","This movie has at least two women in it and they talk to each other about something besides a man.","0.533333"
"1981","62","This movie does not have two (named) female characters.","0.145161"
"1981","62","This movie has at least two women in it.","0.274194"
"1981","62","This movie has at least two women in it and they talk to each other.","0.112903"
"1981","62","This movie has at least two women in it and they talk to each other about something besides a man.","0.467742"
"1982","64","This movie does not have two (named) female characters.","0.125"
"1982","64","This movie has at least two women in it.","0.1875"
"1982","64","This movie has at least two women in it and they talk to each other.","0.171875"
